,Bankruptcies,BusinessOutlook_Industry,BusinessOutlook_Retail,Consumentenvertrouwen_1,EconomischKlimaat_2,Koopbereidheid_3,EconomischeSituatieLaatste12Maanden_4,EconomischeSituatieKomende12Maanden_5,FinancieleSituatieLaatste12Maanden_6,FinancieleSituatieKomende12Maanden_7,GunstigeTijdVoorGroteAankopen_8,CPI_1,CPIAfgeleid_2,MaandmutatieCPI_3,MaandmutatieCPIAfgeleid_4,ProducerConfidence_1,ExpectedActivity_2,CHN,JPN,FRA,USA,DEU,CAN,G20,IMP_advanceEconomies,EXP_advancedEconomies,IMP_EuroArea,Exp_EuroArea,InterestRatesNLD,M3_1,M3_2,M1,EA,US,UK,AEX_close
1981-01-01,509.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-02-01,588.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-03-01,567.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-04-01,607.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-05-01,530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-06-01,557.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-07-01,667.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-08-01,496.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-09-01,725.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-10-01,702.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-11-01,648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-12-01,692.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-01-01,674.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-02-01,722.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-03-01,870.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-04-01,695.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-05-01,555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-06-01,748.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-07-01,690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-08-01,613.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-09-01,797.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-10-01,736.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-11-01,789.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-12-01,755.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102984.0,92453.0,24585.0,,,,
1983-01-01,726.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104493.0,93972.0,25755.0,,,,
1983-02-01,674.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105000.0,94352.0,25669.0,,,,
1983-03-01,884.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108079.0,97105.0,26629.0,,,,
1983-04-01,629.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109515.0,98415.0,26672.0,,,,
1983-05-01,637.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111132.0,100058.0,28659.0,,,,
1983-06-01,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111090.0,99820.0,28845.0,,,,
1983-07-01,521.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109040.0,97705.0,27547.0,,,,
1983-08-01,635.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108189.0,97009.0,26280.0,,,,
1983-09-01,648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107999.0,96694.0,26679.0,,,,
1983-10-01,540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107682.0,96430.0,27375.0,,,,
1983-11-01,602.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109552.0,98140.0,28277.0,,,,
1983-12-01,475.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108118.0,96263.0,26553.0,,,,
1984-01-01,571.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109366.0,97909.0,26836.0,,,,
1984-02-01,659.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110894.0,99330.0,26902.0,,,,
1984-03-01,623.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112241.0,100457.0,26877.0,,,,
1984-04-01,453.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115096.0,103292.0,28041.0,,,,
1984-05-01,560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117622.0,105683.0,29339.0,,,,
1984-06-01,491.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117787.0,105674.0,29331.0,,,,
1984-07-01,423.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117263.0,105405.0,28369.0,,,,
1984-08-01,563.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117225.0,105188.0,27073.0,,,,
1984-09-01,481.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116891.0,104807.0,27851.0,,,,
1984-10-01,567.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115709.0,103704.0,28053.0,,,,
1984-11-01,473.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117933.0,105634.0,28553.0,,,,
1984-12-01,360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116879.0,104376.0,29245.0,,,,
1985-01-01,560.0,,,,,,,,,,,,,,,-2.8,4.4,,,,,,,,,,,,,117566.0,105212.0,28607.0,,,,
