,gdp_total,imports_goods_services,household_cons,gov_consumption,investments,gpd_invest_business_households,gov_invest,change_supply,exports_goods_services,BeloningSeizoengecorrigeerd_2,Loonkosten_7,BeloningVanWerknemers_8
4/1/1995,,,,,,,,,,,,
7/1/1995,,,,,,,,,,,,
10/1/1995,,,,,,,,,,,,
1/1/1996,,,,,,,,,,,,
4/1/1996,119388,49327,59897,27660,22683,18307,4352,820,57253,42079,39949,4.6
7/1/1996,120719,49605,60203,27837,24149,19564,4555,853,56936,42764,47685,4
10/1/1996,122410,50984,60857,28075,24906,20299,4567,799,58409,43266,40482,3.7
1/1/1997,123280,52800,61743,28262,26077,21296,4736,447,59372,43911,42792,3.3
4/1/1997,124625,54295,62386,28552,25593,21100,4443,197,61933,44418,42212,6
7/1/1997,125922,56102,62840,28685,26204,21569,4581,905,63156,45030,50102,5.3
10/1/1997,127752,57170,63466,28955,26083,21382,4652,1214,64893,45652,42545,5.4
1/1/1998,129391,58403,64332,29204,26246,21573,4620,1806,65924,46602,45168,5.8
4/1/1998,131136,59925,65113,29664,27592,22741,4790,2432,66140,47568,45270,7.5
7/1/1998,132075,60317,66323,29909,27132,22427,4643,1136,67720,48127,53415,6.8
10/1/1998,133202,61585,67424,30154,28161,23383,4706,415,68529,49114,45626,7.5
1/1/1999,134421,62328,68283,30269,28125,23248,4810,-1,69878,49966,48186,6.9
4/1/1999,136662,64021,69437,30346,29657,24457,5135,-465,71498,51051,48761,7.7
7/1/1999,138183,65869,70516,30449,29776,24448,5272,-376,73476,51901,57596,7.8
10/1/1999,140086,67659,71260,30758,30799,25256,5488,606,74151,52840,49081,7.6
1/1/2000,142056,69855,71707,31042,31682,26205,5397,391,76853,53889,51966,7.7
4/1/2000,142941,71275,72738,31237,30736,25273,5398,-196,79370,55575,53199,9
7/1/2000,144537,73740,72962,31504,31371,25890,5410,420,81700,56200,62382,8.3
10/1/2000,145730,74662,73558,31878,31144,25720,5357,-564,84000,57156,53140,8.2
1/1/2001,147624,78435,74029,32037,31666,25740,5888,-460,88461,57834,55762,7.3
4/1/2001,147784,77310,74157,32844,31448,25640,5760,1144,85247,58757,56158,5.6
7/1/2001,148532,76332,74672,32994,31750,25898,5805,731,84505,59294,65887,5.6
10/1/2001,148790,76665,74962,33151,31410,25499,5879,1059,84708,60377,56100,5.6
1/1/2002,149270,75012,75509,33311,31969,25872,6069,-583,83855,60656,58550,5
4/1/2002,148359,75874,75454,34003,31149,24878,6266,-686,84188,62199,59253,5.5
7/1/2002,148876,76303,75550,34624,30677,24296,6391,-526,84798,62453,69563,5.6
10/1/2002,149107,76995,75725,34678,30393,23945,6467,-309,85547,62961,58356,4.1
1/1/2003,149330,76849,76093,34698,29242,22811,6466,181,85905,63353,61293,4.8
4/1/2003,149356,78181,75850,35323,29574,23219,6379,-209,86931,63730,60479,1.9
7/1/2003,148840,77785,75690,35370,29633,23156,6511,-195,86093,64318,72057,3.4
10/1/2003,148972,77598,75435,35492,29786,23215,6611,-574,86395,64616,59854,2.4
1/1/2004,149770,79220,75577,35584,30326,23803,6553,-576,88046,65038,63262,3
4/1/2004,151125,79275,76436,34936,30177,23732,6466,-397,89132,64981,61192,1.4
7/1/2004,151846,82365,76082,35403,29726,23569,6169,-274,93100,65344,73327,2
10/1/2004,152073,83773,76047,35323,29504,23436,6072,18,94778,65440,60242,0.9
1/1/2005,152404,85729,76082,35440,29973,23918,6046,-461,96900,65687,63970,1.4
4/1/2005,152896,85467,76210,35207,30225,24191,6025,-366,96874,65712,61826,0.8
7/1/2005,153972,86487,76490,35565,30849,24778,6045,-511,97787,66379,74837,1.8
10/1/2005,156040,88442,77230,36056,31386,25226,6135,-415,99971,66994,61611,2
1/1/2006,157024,88984,77453,36065,30772,24708,6061,437,101063,66621,65353,1.8
4/1/2006,158003,92283,76153,38225,31453,25069,6374,139,104035,67021,63101,1.9
7/1/2006,160369,94040,76865,38646,32601,26097,6485,-156,106146,68324,77117,3
10/1/2006,161328,94334,77012,38687,33411,26828,6553,-778,106997,68949,63258,2.5
1/1/2007,162658,96716,76985,39299,34504,27732,6788,-192,108463,70219,69152,5.9
4/1/2007,164522,97442,77524,39538,35262,28566,6647,-739,109966,70849,66708,5.8
7/1/2007,165363,98457,77790,39711,34902,28185,6671,68,110945,71722,80804,4.8
10/1/2007,167211,100533,78382,40098,35568,28930,6566,462,112805,73001,66750,5.5
1/1/2008,169474,110510,79065,40363,45712,39035,6516,-287,114653,74800,74070,7
4/1/2008,170029,100512,78586,40985,35881,28954,6870,-28,114646,76035,71633,7.3
7/1/2008,170866,102085,79094,41033,36847,29903,6883,19,115501,76527,86052,6.5
10/1/2008,170658,102389,79016,41274,36987,30160,6770,482,114881,77175,70434,5.5
1/1/2009,169531,99238,78905,41521,37426,30464,6938,36,110577,77727,77329,4.4
4/1/2009,163439,91522,77663,42588,33957,26861,7070,-1013,101613,77917,73094,2.3
7/1/2009,163443,91463,77289,43116,33306,26259,7041,-1344,102511,78266,87544,2.1
10/1/2009,164098,93700,77360,43357,33438,26022,7437,-1286,104857,77909,70807,0.8
1/1/2010,165087,96050,77348,43505,33790,26674,7142,-985,107336,77854,77595,0.6
4/1/2010,164775,97461,77230,43443,31182,24305,6891,593,109745,76750,71808,-1.8
7/1/2010,165498,101043,77265,43517,31816,24719,7115,1041,112726,77634,86806,-1
10/1/2010,166229,101756,77480,43627,31520,24860,6673,-142,115382,78086,70932,0.2
1/1/2011,168105,103501,77988,43650,30845,23983,6881,825,118246,79061,79182,2
4/1/2011,169075,105127,77748,43435,33544,26429,7120,-219,119488,79203,74172,3.1
7/1/2011,168924,103646,77724,43558,32691,25778,6914,-1035,119435,79615,89054,2.4
10/1/2011,168924,105434,77451,43364,32509,25866,6643,110,120748,79996,72848,2.5
1/1/2012,167905,105039,77197,43265,32382,25846,6526,-149,120034,80622,81074,2.2
4/1/2012,167556,105835,77435,42914,31537,25218,6314,-240,121569,80398,75408,1.4
7/1/2012,167641,107475,76926,42879,31376,25219,6147,-100,123882,80969,90520,1.5
10/1/2012,166921,107261,76595,42788,30536,24166,6371,80,123988,81101,74000,1.4
1/1/2013,165753,107770,75578,43098,29379,23104,6278,-649,125849,81256,81822,1
4/1/2013,166289,107138,75676,43081,28569,22518,6054,-108,125978,81462,76594,1.3
7/1/2013,165988,108749,75637,42865,29486,23412,6071,482,125968,81285,90999,0.2
10/1/2013,166989,109703,75980,42922,30484,24362,6116,-197,127310,81247,74504,0.2
1/1/2014,168049,112992,76307,42820,32445,26338,6096,289,129045,80608,81636,-0.6
4/1/2014,167890,111444,75789,43167,29512,23622,5888,485,130192,81391,76619,-0.1
7/1/2014,168873,111960,76070,43253,29255,23278,5969,386,131415,81665,91428,0.3
10/1/2014,169295,113940,76040,43257,29316,23483,5826,449,133926,82150,75480,1.2
1/1/2015,170811,115586,76885,42865,30223,24396,5824,384,135787,82903,84245,3
4/1/2015,171828,117815,77383,43095,23800,17543,6249,151,144930,81929,76969,0.6
7/1/2015,172357,150998,77836,43051,62153,55999,6167,455,140310,82361,91969,0.7
10/1/2015,172952,123682,77734,43032,32907,26704,6199,889,141979,82748,76026,0.9
1/1/2016,172980,126272,77900,43151,33782,27848,5933,1074,143289,83191,84550,0.4
4/1/2016,174567,125410,78061,43416,34408,28320,6089,514,143630,84148,79015,2.8
7/1/2016,174979,126679,78005,43505,35615,29391,6220,742,143627,84855,94463,2.9
10/1/2016,176935,127265,78680,43706,35624,29468,6157,1235,145014,85559,78596,3.5
1/1/2017,178417,128597,79579,44023,35772,29547,6226,806,146881,86013,87168,3.4
4/1/2017,179353,131206,79426,43690,35768,29568,6200,693,151058,86622,81322,3
7/1/2017,180933,133820,80074,43911,36160,30119,6036,1001,153536,87828,97575,3.3
10/1/2017,182214,137013,80839,44292,37809,31461,6349,467,155802,88590,81331,3.6
1/1/2018,183554,138631,80732,44394,37786,31328,6458,1557,157748,89783,90914,4.3
4/1/2018,184483,140434,81758,44638,38121,31908,6214,1190,159188,90797,85436,5
7/1/2018,185684,141345,82086,44746,38393,32087,6306,976,160831,91657,101651,4.1
10/1/2018,185904,142079,81933,44805,37361,30933,6425,1041,162854,93235,85695,5.3
1/1/2019,186810,141478,82163,45163,38893,32229,6662,984,161084,94180,95406,4.9
4/1/2019,188357,143720,82330,45816,39696,33069,6627,2146,162054,95642,90087,5.5
7/1/2019,188917,146040,82764,45858,40519,33823,6695,1397,164389,96721,106959,5.3
10/1/2019,189317,146611,82495,46236,41059,34487,6570,1733,164389,97598,89715,4.7
1/1/2020,190400,146478,83251,46378,40868,34604,6260,1214,165110,98891,100322,5.1
4/1/2020,187876,144125,81315,46592,41128,34478,6649,-561,163488,100272,94217,5
7/1/2020,172195,130483,72219,45604,37215,30440,6783,1053,146475,98593,103450,1.6
10/1/2020,183174,138606,78290,47453,39460,32710,6751,-431,156943,100318,90201,2.8
1/1/2021,184339,141956,78098,47470,40139,33006,7138,-54,160587,103541,101221,5
4/1/2021,186584,144548,75234,48202,40950,34047,6901,851,165978,101954,92979,1.9
7/1/2021,192238,146343,80198,49412,40541,33735,6803,-9,168632,103911,111963,5.1
10/1/2021,196201,150347,83982,49241,40301,33666,6628,926,172267,105703,95883,5.4
1/1/2022,197575,148510,84038,49649,40748,34047,6692,1002,171049,107750,107757,4
4/1/2022,198597,151432,84684,49407,40462,33921,6533,1451,174330,109971,103207,8.2
7/1/2022,201974,153057,85763,49686,41715,35320,6398,112,178134,111316,122153,6.8
10/1/2022,202347,153794,86593,49990,41310,34784,6483,504,177949,114163,104969,8
1/1/2023,203572,154851,87547,50531,41991,35651,6305,-481,179048,116243,118114,7.9
4/1/2023,202568,154500,87129,50828,42853,36376,6464,-1521,178476,118577,112697,8
7/1/2023,201838,154145,85839,51411,42889,36389,6550,318,176167,120300,131673,7.9
10/1/2023,201349,149943,85656,52086,41816,35084,6640,-727,172567,122408,112442,7.2
1/1/2024,202061,150288,87255,52436,41058,34528,6487,-1053,172475,124645,127017,7.4
4/1/2024,,,,,,,,,,,,
7/1/2024,,,,,,,,,,,,
10/1/2024,,,,,,,,,,,,
1/1/2025,,,,,,,,,,,,
