,gdp_total,imports_goods_services,household_cons,gov_consumption,investments,gpd_invest_business_households,gov_invest,change_supply,exports_goods_services,BeloningSeizoengecorrigeerd_2,Loonkosten_7,BeloningVanWerknemers_8
1995-03-31,,,,,,,,,,,,
1995-06-30,,,,,,,,,,,,
1995-09-30,,,,,,,,,,,,
1995-12-31,,,,,,,,,,,,
1996-03-31,119388.0,49327.0,59897.0,27660.0,22683.0,18307.0,4352.0,820.0,57253.0,42079.0,39949.0,4.6
1996-06-30,120719.0,49605.0,60203.0,27837.0,24149.0,19564.0,4555.0,853.0,56936.0,42764.0,47685.0,4.0
1996-09-30,122410.0,50984.0,60857.0,28075.0,24906.0,20299.0,4567.0,799.0,58409.0,43266.0,40482.0,3.7
1996-12-31,123280.0,52800.0,61743.0,28262.0,26077.0,21296.0,4736.0,447.0,59372.0,43911.0,42792.0,3.3
1997-03-31,124625.0,54295.0,62386.0,28552.0,25593.0,21100.0,4443.0,197.0,61933.0,44418.0,42212.0,6.0
1997-06-30,125922.0,56102.0,62840.0,28685.0,26204.0,21569.0,4581.0,905.0,63156.0,45030.0,50102.0,5.3
1997-09-30,127752.0,57170.0,63466.0,28955.0,26083.0,21382.0,4652.0,1214.0,64893.0,45652.0,42545.0,5.4
1997-12-31,129391.0,58403.0,64332.0,29204.0,26246.0,21573.0,4620.0,1806.0,65924.0,46602.0,45168.0,5.8
1998-03-31,131136.0,59925.0,65113.0,29664.0,27592.0,22741.0,4790.0,2432.0,66140.0,47568.0,45270.0,7.5
1998-06-30,132075.0,60317.0,66323.0,29909.0,27132.0,22427.0,4643.0,1136.0,67720.0,48127.0,53415.0,6.8
1998-09-30,133202.0,61585.0,67424.0,30154.0,28161.0,23383.0,4706.0,415.0,68529.0,49114.0,45626.0,7.5
1998-12-31,134421.0,62328.0,68283.0,30269.0,28125.0,23248.0,4810.0,-1.0,69878.0,49966.0,48186.0,6.9
1999-03-31,136662.0,64021.0,69437.0,30346.0,29657.0,24457.0,5135.0,-465.0,71498.0,51051.0,48761.0,7.7
1999-06-30,138183.0,65869.0,70516.0,30449.0,29776.0,24448.0,5272.0,-376.0,73476.0,51901.0,57596.0,7.8
1999-09-30,140086.0,67659.0,71260.0,30758.0,30799.0,25256.0,5488.0,606.0,74151.0,52840.0,49081.0,7.6
1999-12-31,142056.0,69855.0,71707.0,31042.0,31682.0,26205.0,5397.0,391.0,76853.0,53889.0,51966.0,7.7
2000-03-31,142941.0,71275.0,72738.0,31237.0,30736.0,25273.0,5398.0,-196.0,79370.0,55575.0,53199.0,9.0
2000-06-30,144537.0,73740.0,72962.0,31504.0,31371.0,25890.0,5410.0,420.0,81700.0,56200.0,62382.0,8.3
2000-09-30,145730.0,74662.0,73558.0,31878.0,31144.0,25720.0,5357.0,-564.0,84000.0,57156.0,53140.0,8.2
2000-12-31,147624.0,78435.0,74029.0,32037.0,31666.0,25740.0,5888.0,-460.0,88461.0,57834.0,55762.0,7.3
2001-03-31,147784.0,77310.0,74157.0,32844.0,31448.0,25640.0,5760.0,1144.0,85247.0,58757.0,56158.0,5.6
2001-06-30,148532.0,76332.0,74672.0,32994.0,31750.0,25898.0,5805.0,731.0,84505.0,59294.0,65887.0,5.6
2001-09-30,148790.0,76665.0,74962.0,33151.0,31410.0,25499.0,5879.0,1059.0,84708.0,60377.0,56100.0,5.6
2001-12-31,149270.0,75012.0,75509.0,33311.0,31969.0,25872.0,6069.0,-583.0,83855.0,60656.0,58550.0,5.0
2002-03-31,148359.0,75874.0,75454.0,34003.0,31149.0,24878.0,6266.0,-686.0,84188.0,62199.0,59253.0,5.5
2002-06-30,148876.0,76303.0,75550.0,34624.0,30677.0,24296.0,6391.0,-526.0,84798.0,62453.0,69563.0,5.6
2002-09-30,149107.0,76995.0,75725.0,34678.0,30393.0,23945.0,6467.0,-309.0,85547.0,62961.0,58356.0,4.1
2002-12-31,149330.0,76849.0,76093.0,34698.0,29242.0,22811.0,6466.0,181.0,85905.0,63353.0,61293.0,4.8
2003-03-31,149356.0,78181.0,75850.0,35323.0,29574.0,23219.0,6379.0,-209.0,86931.0,63730.0,60479.0,1.9
2003-06-30,148840.0,77785.0,75690.0,35370.0,29633.0,23156.0,6511.0,-195.0,86093.0,64318.0,72057.0,3.4
2003-09-30,148972.0,77598.0,75435.0,35492.0,29786.0,23215.0,6611.0,-574.0,86395.0,64616.0,59854.0,2.4
2003-12-31,149770.0,79220.0,75577.0,35584.0,30326.0,23803.0,6553.0,-576.0,88046.0,65038.0,63262.0,3.0
2004-03-31,151125.0,79275.0,76436.0,34936.0,30177.0,23732.0,6466.0,-397.0,89132.0,64981.0,61192.0,1.4
2004-06-30,151846.0,82365.0,76082.0,35403.0,29726.0,23569.0,6169.0,-274.0,93100.0,65344.0,73327.0,2.0
2004-09-30,152073.0,83773.0,76047.0,35323.0,29504.0,23436.0,6072.0,18.0,94778.0,65440.0,60242.0,0.9
2004-12-31,152404.0,85729.0,76082.0,35440.0,29973.0,23918.0,6046.0,-461.0,96900.0,65687.0,63970.0,1.4
2005-03-31,152896.0,85467.0,76210.0,35207.0,30225.0,24191.0,6025.0,-366.0,96874.0,65712.0,61826.0,0.8
2005-06-30,153972.0,86487.0,76490.0,35565.0,30849.0,24778.0,6045.0,-511.0,97787.0,66379.0,74837.0,1.8
2005-09-30,156040.0,88442.0,77230.0,36056.0,31386.0,25226.0,6135.0,-415.0,99971.0,66994.0,61611.0,2.0
2005-12-31,157024.0,88984.0,77453.0,36065.0,30772.0,24708.0,6061.0,437.0,101063.0,66621.0,65353.0,1.8
2006-03-31,158003.0,92283.0,76153.0,38225.0,31453.0,25069.0,6374.0,139.0,104035.0,67021.0,63101.0,1.9
2006-06-30,160369.0,94040.0,76865.0,38646.0,32601.0,26097.0,6485.0,-156.0,106146.0,68324.0,77117.0,3.0
2006-09-30,161328.0,94334.0,77012.0,38687.0,33411.0,26828.0,6553.0,-778.0,106997.0,68949.0,63258.0,2.5
2006-12-31,162658.0,96716.0,76985.0,39299.0,34504.0,27732.0,6788.0,-192.0,108463.0,70219.0,69152.0,5.9
2007-03-31,164522.0,97442.0,77524.0,39538.0,35262.0,28566.0,6647.0,-739.0,109966.0,70849.0,66708.0,5.8
2007-06-30,165363.0,98457.0,77790.0,39711.0,34902.0,28185.0,6671.0,68.0,110945.0,71722.0,80804.0,4.8
2007-09-30,167211.0,100533.0,78382.0,40098.0,35568.0,28930.0,6566.0,462.0,112805.0,73001.0,66750.0,5.5
2007-12-31,169474.0,110510.0,79065.0,40363.0,45712.0,39035.0,6516.0,-287.0,114653.0,74800.0,74070.0,7.0
2008-03-31,170029.0,100512.0,78586.0,40985.0,35881.0,28954.0,6870.0,-28.0,114646.0,76035.0,71633.0,7.3
2008-06-30,170866.0,102085.0,79094.0,41033.0,36847.0,29903.0,6883.0,19.0,115501.0,76527.0,86052.0,6.5
2008-09-30,170658.0,102389.0,79016.0,41274.0,36987.0,30160.0,6770.0,482.0,114881.0,77175.0,70434.0,5.5
2008-12-31,169531.0,99238.0,78905.0,41521.0,37426.0,30464.0,6938.0,36.0,110577.0,77727.0,77329.0,4.4
2009-03-31,163439.0,91522.0,77663.0,42588.0,33957.0,26861.0,7070.0,-1013.0,101613.0,77917.0,73094.0,2.3
2009-06-30,163443.0,91463.0,77289.0,43116.0,33306.0,26259.0,7041.0,-1344.0,102511.0,78266.0,87544.0,2.1
2009-09-30,164098.0,93700.0,77360.0,43357.0,33438.0,26022.0,7437.0,-1286.0,104857.0,77909.0,70807.0,0.8
