Date,AT,BA,BE,BG,CH,CY,CZ,DE,DK,EA,EA12,EA19,EA20,EE,EL,ES,EU15,EU27_2020,EU28,FI,FR,HR,HU,IE,IT,LT,LU,LV,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK
1975-Q1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269070.7
1975-Q2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264651.9
1975-Q3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263746.8
1975-Q4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266770.9
1976-Q1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270992.8
1976-Q2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270545.0
1976-Q3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273932.0
1976-Q4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279742.8
1977-Q1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279822.4
1977-Q2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277878.7
1977-Q3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279814.3
1977-Q4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284614.8
1978-Q1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33402.4,,,,,,,,,287153.4
1978-Q2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33850.1,,,,,,,,,290498.5
1978-Q3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34186.8,,,,,,,,,294492.4
1978-Q4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34224.1,,,,,,,,,297163.1
1979-Q1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34316.8,,,,,,,,,296108.3
1979-Q2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35163.3,,,,,,,,,309188.1
1979-Q3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35923.3,,,,,,,,,302325.2
