,gdp_total,imports_goods_services,household_cons,gov_consumption,investments,gpd_invest_business_households,gov_invest,change_supply,exports_goods_services,BeloningSeizoengecorrigeerd_2,Loonkosten_7,BeloningVanWerknemers_8,Bankruptcies,BusinessOutlook_Industry,BusinessOutlook_Retail,Consumentenvertrouwen_1,EconomischKlimaat_2,Koopbereidheid_3,EconomischeSituatieLaatste12Maanden_4,EconomischeSituatieKomende12Maanden_5,FinancieleSituatieLaatste12Maanden_6,FinancieleSituatieKomende12Maanden_7,GunstigeTijdVoorGroteAankopen_8,CPI_1,CPIAfgeleid_2,MaandmutatieCPI_3,MaandmutatieCPIAfgeleid_4,ProducerConfidence_1,ExpectedActivity_2,CHN,JPN,FRA,USA,DEU,CAN,G20,IMP_advanceEconomies,EXP_advancedEconomies,IMP_EuroArea,Exp_EuroArea,InterestRatesNLD,M3_1,M3_2,M1,EA,US,UK,AEX_close
4/1/1996,120719,49605,60203,27837,24149,19564,4555,853,56936,42764,47685,4,-19,,,-0.666666667,-10.33333333,5,-11,-9.666666667,3.666666667,10.33333333,1.333333333,68.78,73.07,0.533333333,0.533333333,-2.4,9.166666667,101.3427333,101.9967,98.53493333,98.92553333,99.17585667,98.65109333,100.1188,,,,,,1726.666667,1645,880,5.45,5.386866667,6.156633333,7.747573667
7/1/1996,122410,50984,60857,28075,24906,20299,4567,799,58409,43266,40482,3.7,4.333333333,,,4.333333333,-1.666666667,8,-4,0.333333333,6,15.33333333,3.666666667,68.82333333,73.11666667,-0.133333333,-0.1,-2.333333333,6.5,103.1925333,102.3022,98.46073333,99.39226667,99.29652,99.40494333,100.4391,,,,,,1817.666667,1765,1335.666667,5.066666667,5.569266667,5.957666667,-2.854288667
10/1/1996,123280,52800,61743,28262,26077,21296,4736,447,59372,43911,42792,3.3,33.33333333,,,12.66666667,14.66666667,11.33333333,10.66666667,18.33333333,8.333333333,20,6,69.21666667,73.55,0.333333333,0.333333333,-1.166666667,8.7,104.7342,102.3740333,98.15697333,99.64829333,99.68667333,99.94962667,100.6466667,,,,,,-45.33333333,26,-0.666666667,4.876666667,5.562633333,5.906566667,6.245559667
1/1/1997,124625,54295,62386,28552,25593,21100,4443,197,61933,44418,42212,6,-4.666666667,,,15.33333333,22.33333333,10,21.66666667,23.33333333,7.333333333,19.33333333,4,69.42333333,73.71666667,-0.033333333,-0.1,-0.3,9.966666667,103.9811667,102.0627667,97.94152333,99.89691667,100.0195167,100.4599333,100.7048333,,,,,,1956.333333,1924.666667,1428.666667,4.486666667,5.5403,6.410766667,14.92338067
4/1/1997,125922,56102,62840,28685,26204,21569,4581,905,63156,45030,50102,5.3,-22,,,20.66666667,29,15.33333333,31,27,13,21.33333333,10.66666667,69.97,74.16333333,0.366666667,0.333333333,1,11.23333333,102.2977,101.5283,98.31796333,100.2620667,100.3452333,100.9771,100.7742667,,,,,,1527.333333,1474,259.3333333,4.44,5.6597,6.349,13.25952133
7/1/1997,127752,57170,63466,28955,26083,21382,4652,1214,64893,45652,42545,5.4,7.333333333,,,24.33333333,33.66666667,18.33333333,38.33333333,28.33333333,15.66666667,24,14.66666667,70.21,74.41666667,0,0.033333333,2.2,10.16666667,100.18105,100.9155,98.9309,100.6752667,100.6701,101.4643667,100.7325667,,,,,,2153,2061.666667,1161,4.296666667,5.786033333,6.746033333,33.27584833
10/1/1997,129391,58403,64332,29204,26246,21573,4620,1806,65924,46602,45168,5.8,1.666666667,,,24.33333333,32.33333333,19.66666667,37.33333333,27,17.66666667,24.33333333,17,70.88333333,75.16333333,0.433333333,0.433333333,3.9,11.5,98.35738,99.94826,99.45758667,100.9348333,100.9227667,101.4511,100.4684333,,,,,,287.6666667,355,-119.3333333,4.37,5.7385,7.298833333,-18.72003167
1/1/1998,131136,59925,65113,29664,27592,22741,4790,2432,66140,47568,45270,7.5,-27.33333333,,,25.66666667,33.66666667,20.33333333,39.66666667,28.66666667,19,26.33333333,15.33333333,70.94333333,75.17333333,-0.2,-0.3,3.5,9.1,97.55169667,98.79559333,99.83190667,100.9306,100.9804333,100.9643,100.0042367,,,,,,4412,4405.333333,1974,4.373333333,5.799,7.643166667,14.68137633
4/1/1998,132075,60317,66323,29909,27132,22427,4643,1136,67720,48127,53415,6.8,29,,,29.66666667,40.33333333,22.66666667,48,32.66666667,21,27.33333333,20,71.56333333,75.70333333,0.566666667,0.533333333,2.766666667,9.566666667,97.69944333,97.87976667,100.3517333,100.7002,100.8804667,100.27103,99.53898,,,,,,3301,3290,1300,4.146666667,5.6693,7.548666667,25.86407467
7/1/1998,133202,61585,67424,30154,28161,23383,4706,415,68529,49114,45626,7.5,-19.33333333,,,33,42,27,50.33333333,33.33333333,24.33333333,28.33333333,28.66666667,71.65666667,75.80333333,-0.1,-0.1,2.666666667,10.23333333,98.47324667,97.30915,100.7634667,100.2025,100.5212667,99.084,99.03530667,,,,,,4465.666667,4414,1825,4.01,5.6902,7.669433333,15.384725
10/1/1998,134421,62328,68283,30269,28125,23248,4810,-1,69878,49966,48186,6.9,-26.66666667,,,22.66666667,19.66666667,24.33333333,34.33333333,5,23.33333333,23,27,72.10666667,76.29333333,0.333333333,0.366666667,0.6,8.966666667,99.04345,97.17885333,100.5250667,99.78635667,99.87298,98.34499333,98.68331333,,,,,,-632.6666667,-462.3333333,1144.666667,3.89,5.483333333,7.472166667,-35.72324633
1/1/1999,136662,64021,69437,30346,29657,24457,5135,-465,71498,51051,48761,7.7,-26.33333333,,,12.33333333,-2.333333333,21.66666667,16.33333333,-21,22,21.66666667,22.33333333,72.29,76.35333333,-0.066666667,-0.233333333,-2.066666667,5.9,99.31912333,97.74227,99.97868667,100.0399233,99.41799333,98.77330667,98.93676,,,,,,2756.333333,2887,3091.333333,3.397366667,5.184966667,6.452166667,27.137207
