,forecast
0,0.007854628540952854
1,0.013984976639437962
2,0.010243610746383263
3,0.01116884445467596
4,0.010377480739633394
5,0.012233902760944744
6,0.009678152976556855
7,0.01037365307106604
8,0.009244230754612405
9,0.011148033535810746
10,0.010012243399239491
11,0.013163405158497744
12,0.013346507417928205
13,0.011743722640942244
14,0.011142926422334701
15,0.009036684026479785
16,0.0055777789319330934
17,0.0012438188339654887
18,0.005016294046061196
19,-0.001222130537810753
20,0.0008043994697448985
21,0.0011447367898496
22,0.008208421688282971
23,0.0019282238888162517
24,0.004193850329950766
25,0.0004227270574233164
26,0.002843523298174162
27,0.0002231637484992706
28,0.0021813888326626413
29,0.0027359049675157263
30,0.0019555931240417134
31,0.004157691842655315
32,0.004192676391857593
33,0.0036478452642115327
34,0.0038335342667966876
35,0.0055895593432666235
36,0.008539477226335926
37,0.007379310508330052
38,0.013371116162955457
39,0.0068611656628872865
40,0.009687183111374129
41,0.009172713502327113
42,0.00867869433131073
43,0.012102155700655152
44,0.011133727268555611
45,0.005260005306623152
46,0.004181476473823162
47,-0.004609553625595699
48,-0.007123700074888677
49,-0.03467594709124739
50,-0.0007804274437318894
51,-0.0005251639992475801
52,0.006249845820437575
53,0.003776588314563762
54,0.006651975735414901
55,0.005736640426491495
56,0.0020972348973358397
57,0.004689380824309612
58,0.0007504016297178991
59,0.0005834420892534834
60,-0.002335228202699606
61,-0.0010164064608075471
62,0.0017025625666893145
63,0.0003971526007239608
64,0.0020811553059300386
65,0.0040457228488993075
66,0.002883740216851785
67,0.001308950633576088
68,0.0016880777670066575
69,0.001315980682046537
70,0.0018250365542895857
71,0.004292114571084554
72,0.006398595706539805
73,0.006968340244141176
74,-0.0005041413552229023
75,0.0023473447776563607
76,0.0012799456271345641
77,0.004982392993707673
78,0.0032648169912718687
79,0.005627489499108718
80,0.007555120842446706
81,0.005026326010440969
82,0.007521602690241064
83,0.008714273129683052
84,0.008998462940851985
85,0.008138727366825233
86,0.007672850495185328
87,0.006798286015489011
88,0.004325793578898361
89,0.006864374108791396
90,0.006697028116179856
91,0.0030525425697557696
92,0.004561213613198393
93,-0.017913273980562482
94,-0.032338253800680436
95,0.0005003010714510553
96,0.006690172932143123
97,0.00845969417869906
98,0.010848365350874136
99,0.016130815704583586
100,0.008169995532709314
101,0.012656616199483928
102,0.006350044505795465
103,0.003139366146091823
104,0.002005792538287413
105,-0.0022650694328640183
106,0.0006651726374140085
107,-5.9567762160144974e-05
108,-0.0007088169261422536
